TechCode,CropCode,Variable,Filename,Crop,Tech,Archive
L,SESA,VOP,spam2017V2r1_SSA_V_SESA_L.tif,sesameseed,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,SMIL,VOP,spam2017V2r1_SSA_V_SMIL_L.tif,small millet,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,SORG,VOP,spam2017V2r1_SSA_V_SORG_L.tif,sorghum,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,SOYB,VOP,spam2017V2r1_SSA_V_SOYB_L.tif,soybean,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,SUGB,VOP,spam2017V2r1_SSA_V_SUGB_L.tif,sugarbeet,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,SUGC,VOP,spam2017V2r1_SSA_V_SUGC_L.tif,sugarcane,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,SUNF,VOP,spam2017V2r1_SSA_V_SUNF_L.tif,sunflower,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,SWPO,VOP,spam2017V2r1_SSA_V_SWPO_L.tif,sweet potato,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,TEAS,VOP,spam2017V2r1_SSA_V_TEAS_L.tif,tea,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,TEMF,VOP,spam2017V2r1_SSA_V_TEMF_L.tif,temperate fruit,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,TOBA,VOP,spam2017V2r1_SSA_V_TOBA_L.tif,tobacco,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,TROF,VOP,spam2017V2r1_SSA_V_TROF_L.tif,tropical fruit,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,VEGE,VOP,spam2017V2r1_SSA_V_VEGE_L.tif,vegetables,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,WHEA,VOP,spam2017V2r1_SSA_V_WHEA_L.tif,wheat,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,YAMS,VOP,spam2017V2r1_SSA_V_YAMS_L.tif,yams,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
R,ACOF,VOP,spam2017V2r1_SSA_V_ACOF_R.tif,arabica coffee,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,BANA,VOP,spam2017V2r1_SSA_V_BANA_R.tif,banana,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,BARL,VOP,spam2017V2r1_SSA_V_BARL_R.tif,barley,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,BEAN,VOP,spam2017V2r1_SSA_V_BEAN_R.tif,bean,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,CASS,VOP,spam2017V2r1_SSA_V_CASS_R.tif,cassava,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,CHIC,VOP,spam2017V2r1_SSA_V_CHIC_R.tif,chickpea,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,CNUT,VOP,spam2017V2r1_SSA_V_CNUT_R.tif,coconut,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,COCO,VOP,spam2017V2r1_SSA_V_COCO_R.tif,cocoa,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,COTT,VOP,spam2017V2r1_SSA_V_COTT_R.tif,cotton,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,COWP,VOP,spam2017V2r1_SSA_V_COWP_R.tif,cowpea,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,GROU,VOP,spam2017V2r1_SSA_V_GROU_R.tif,groundnut,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,LENT,VOP,spam2017V2r1_SSA_V_LENT_R.tif,lentil,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,MAIZ,VOP,spam2017V2r1_SSA_V_MAIZ_R.tif,maize,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,OCER,VOP,spam2017V2r1_SSA_V_OCER_R.tif,other cereals,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,OFIB,VOP,spam2017V2r1_SSA_V_OFIB_R.tif,other fibre crops,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,OILP,VOP,spam2017V2r1_SSA_V_OILP_R.tif,oilpalm,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,OOIL,VOP,spam2017V2r1_SSA_V_OOIL_R.tif,other oil crops,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,OPUL,VOP,spam2017V2r1_SSA_V_OPUL_R.tif,other pulses,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,ORTS,VOP,spam2017V2r1_SSA_V_ORTS_R.tif,other roots,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,PIGE,VOP,spam2017V2r1_SSA_V_PIGE_R.tif,pigeonpea,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,PLNT,VOP,spam2017V2r1_SSA_V_PLNT_R.tif,plantain,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,PMIL,VOP,spam2017V2r1_SSA_V_PMIL_R.tif,pearl millet,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,POTA,VOP,spam2017V2r1_SSA_V_POTA_R.tif,potato,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,RAPE,VOP,spam2017V2r1_SSA_V_RAPE_R.tif,rapeseed,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,RCOF,VOP,spam2017V2r1_SSA_V_RCOF_R.tif,robusta coffee,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,REST,VOP,spam2017V2r1_SSA_V_REST_R.tif,rest of crops,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,RICE,VOP,spam2017V2r1_SSA_V_RICE_R.tif,rice,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,SESA,VOP,spam2017V2r1_SSA_V_SESA_R.tif,sesameseed,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
R,SMIL,VOP,spam2017V2r1_SSA_V_SMIL_R.tif,small millet,rainfed all,spam2017v2r1_ssa_val_prod.geotiff
